,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID
17925,speech,66.0,0.019027042312637066,4.541690739283398e-06,0.0686241620043381,-4.996893844851895,-0.3429076527275963,7,7,hbo,True,S7_D7 hbo,NDARLM531OY3
17992,Exhale,66.0,0.01822202631850171,4.973519436215541e-06,0.11426360649395381,4.972697488966889,0.5681983490927849,8,6,hbo,True,S8_D6 hbo,NDARLM531OY3
17993,Hold,66.0,0.01822202631850171,4.809203315196221e-05,0.24367494945321466,4.351076174784664,1.0602482669577395,8,6,hbo,True,S8_D6 hbo,NDARLM531OY3
17994,Inhale,66.0,0.01822202631850171,8.137356113110454e-14,0.1135250437153986,-9.411241739356452,-1.068411629876625,8,6,hbo,True,S8_D6 hbo,NDARLM531OY3
17998,control,66.0,0.01822202631850171,0.007769433436973695,0.10739627296528584,2.7458499306783084,0.29489404867683877,8,6,hbo,True,S8_D6 hbo,NDARLM531OY3
18056,noise,66.0,0.01822202631850171,5.976869681282614e-06,0.06702531272854391,-4.923601128704589,-0.33000590540203684,8,6,hbo,True,S8_D6 hbo,NDARLM531OY3
18057,speech,66.0,0.01822202631850171,8.58994654139599e-09,0.06715676180323535,-6.59095234730277,-0.442627016844287,8,6,hbo,True,S8_D6 hbo,NDARLM531OY3
18124,Exhale,66.0,0.012584054258430408,2.2462271412542685e-08,0.09495544728383422,6.353438360554734,0.6032935813167452,8,7,hbo,True,S8_D7 hbo,NDARLM531OY3
18125,Hold,66.0,0.012584054258430408,4.7347042966547854e-08,0.2024989804467623,6.167991253985404,1.2490119403365911,8,7,hbo,True,S8_D7 hbo,NDARLM531OY3
18126,Inhale,66.0,0.012584054258430408,2.1021049243904504e-16,0.09434168616481499,-10.9019564504753,-1.028508954033221,8,7,hbo,True,S8_D7 hbo,NDARLM531OY3
18130,control,66.0,0.012584054258430408,0.008888578871134832,0.08924854946334189,2.6962736761443553,0.24063851455207616,8,7,hbo,True,S8_D7 hbo,NDARLM531OY3
18188,noise,66.0,0.012584054258430408,3.536662531031956e-07,0.055699436984028,-5.661045621458979,-0.31531705385616204,8,7,hbo,True,S8_D7 hbo,NDARLM531OY3
18189,speech,66.0,0.012584054258430408,2.5295198644866437e-09,0.055808673914887814,-6.891038098299787,-0.38457969816308146,8,7,hbo,True,S8_D7 hbo,NDARLM531OY3
18256,Exhale,68.0,0.006438810421967555,0.009371689438282302,0.05759301822120952,2.674248500521343,0.15401804261856794,1,1,hbo,True,S1_D1 hbo,NDARXL287BE1
18257,Hold,68.0,0.006438810421967555,0.007471830363018335,0.14564321893057197,-2.7575601236728122,-0.40161993280629454,1,1,hbo,True,S1_D1 hbo,NDARXL287BE1
18258,Inhale,68.0,0.006438810421967555,0.21765056763616034,0.0626123143031893,-1.2443287266353573,-0.0779103013285803,1,1,hbo,False,S1_D1 hbo,NDARXL287BE1
18262,control,68.0,0.006438810421967555,0.26487151920599034,0.05094179619127088,-1.1242227664096283,-0.05726992704002601,1,1,hbo,False,S1_D1 hbo,NDARXL287BE1
18322,noise,68.0,0.006438810421967555,2.7084750307817957e-07,0.036684142669609815,-5.710167898381354,-0.20947261385164764,1,1,hbo,True,S1_D1 hbo,NDARXL287BE1
18323,speech,68.0,0.006438810421967555,2.3704233881633995e-05,0.036202286236503234,-4.538761234568484,-0.16431353337299304,1,1,hbo,True,S1_D1 hbo,NDARXL287BE1
18392,Exhale,68.0,0.015577681993707022,0.3624795558774484,0.08958152192297918,0.9168154342932915,0.08212972192647017,1,2,hbo,False,S1_D2 hbo,NDARXL287BE1
18393,Hold,68.0,0.015577681993707022,0.11054817998673522,0.22653685485713182,-1.6168158848127978,-0.36626838542854195,1,2,hbo,False,S1_D2 hbo,NDARXL287BE1
18394,Inhale,68.0,0.015577681993707022,0.022187562342547533,0.0973886519518098,2.3407069640468734,0.2279582958427383,1,2,hbo,True,S1_D2 hbo,NDARXL287BE1
18398,control,68.0,0.015577681993707022,0.0058685633253868245,0.07923605626599564,-2.844663600773856,-0.22539992512874704,1,2,hbo,True,S1_D2 hbo,NDARXL287BE1
18458,noise,68.0,0.015577681993707022,1.2748164367538818e-05,0.05705936990767303,-4.707970555603832,-0.26863383344663194,1,2,hbo,True,S1_D2 hbo,NDARXL287BE1
18459,speech,68.0,0.015577681993707022,4.818294854618487e-07,0.056309879188845426,-5.564451536821678,-0.313333593790614,1,2,hbo,True,S1_D2 hbo,NDARXL287BE1
18528,Exhale,68.0,0.00194679455686133,8.964401183898758e-22,0.03166846996105567,14.041258059750986,0.4446651590806549,2,1,hbo,True,S2_D1 hbo,NDARXL287BE1
